ID,Category,Question,AnswerExcerpt,Latency(s),HasChart,ChartURL,HasTable,Steps
TC_011,Table_Extraction,Thu nhập trên mỗi cổ phiếu (EPS) cơ bản năm 2023 là bao nhiêu?,"Sorry, I encountered an error connecting to the server stream....",0.638,False,,False,1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process
TC_012,Table_Extraction,Chi phí thuế thu nhập doanh nghiệp hiện hành năm 2023?,"Sorry, I encountered an error connecting to the server stream....",0.707,False,,False,1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process
TC_013,Multi_Step_Reasoning,Tính tỷ suất biên lợi nhuận gộp (Gross Margin) của năm 2023?,"Sorry, I encountered an error connecting to the server stream....",0.662,False,,False,1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process
TC_014,Multi_Step_Reasoning,Doanh thu thuần năm 2023 tăng hay giảm bao nhiêu phần trăm so với năm 2022 (năm 2022 là 59.956 tỷ đồng)?,"Sorry, I encountered an error connecting to the server stream....",1.116,False,,False,1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process
TC_015,Multi_Step_Reasoning,"Tính tỷ số thanh toán hiện hành (Current Ratio) cuối năm 2023, biết Nợ ngắn hạn là 18.200 tỷ đồng?","Sorry, I encountered an error connecting to the server stream....",1.144,False,,False,1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process
TC_016,Multi_Step_Reasoning,Lợi nhuận sau thuế năm 2023 chiếm bao nhiêu phần trăm trong tổng doanh thu thuần?,"Sorry, I encountered an error connecting to the server stream....",1.094,False,,False,1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process
TC_017,Multi_Step_Reasoning,"So sánh chi phí quản lý doanh nghiệp và chi phí bán hàng, khoản nào lớn hơn và lớn hơn bao nhiêu trong năm 2023?","Sorry, I encountered an error connecting to the server stream....",0.698,False,,False,1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process
TC_018,Multi_Step_Reasoning,"Tính tỷ suất sinh lời trên tổng tài sản (ROA) năm 2023, biết tổng tài sản bình quân là 50.000 tỷ đồng và LNST là 9.019 tỷ đồng?","Sorry, I encountered an error connecting to the server stream....",1.286,False,,False,1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process
TC_019,Multi_Step_Reasoning,Sự chênh lệch giữa tỷ giá hối đoái đã ảnh hưởng như thế nào đến lợi nhuận tài chính của doanh nghiệp?,"Sorry, I encountered an error connecting to the server stream....",1.151,False,,False,1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process
TC_020,Multi_Step_Reasoning,Vẽ biểu đồ hình tròn thể hiện cơ cấu tài sản (Tài sản ngắn hạn và Tài sản dài hạn) năm 2023.,"Sorry, I encountered an error connecting to the server stream....",0.768,False,,False,1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process -> 1 -> Multi-Agent Thought process
